Distribution, Founder, Maintainer, Initial release year, Current stable version, Security updates (years), Release date, System distribution commitment, Forked from, Target audience, Cost, Status
SteamOS, Valve, Valve, 2013, 2.195[65], ?, 2019-07-19, X, Debian, video games, Gratis, Active
SUSE Linux Enterprise, SUSE, SUSE, 2000, 15SP1, ?, 2019-08-12, X, Slackware  Jurix, workstation  server  supercomputer, Commercial[66], Active
Tails, ?, Tails Development Team, 2009, 3.14.2[67], –[g 2], 2019-06-23, X, Debian, security-focused aimed for anonymity and privacy, Gratis, Active
Tiny Core Linux, Robert Shingledecker, Team Tiny Core, 2009, 10.1, ?, 2019-01-20, X, Independent  inspired from Damn Small Linux, portable, Gratis, Active
Tor-ramdisk, Anthony G. Basile, dev team, 2008, 20170130, ?, 2017-01-30, X, Gentoo Linux Embedded  uClibc, Tor server, Gratis, Active
Trisquel GNU/Linux, Rubén Rodríguez Pérez (quidam), Rubén Rodríguez Pérez (quidam), 2005, 8.0[g 3], 5 years, 2018-04-18, 100% Free: GNU FSDG, Ubuntu LTS, desktop, Gratis, Active
TurnKey GNU/Linux, Alon Swartz  Liraz Siri, TurnKey GNU/Linux Team, 2008, 15.x[68], Debian packages as per Debian; TurnKey packages for life of current major version (plus backports per request), 2019-06-28, Debian Social Contract and DFSG, Debian, server based software appliance library aiming to balance security and ease of use, Gratis, Active
Ubuntu and Derivatives[69], Canonical Ltd., Canonical Ltd., 2004, 19.10[70], Standard releases 1 year  LTS releases 5 years. Flavor LTS releases 3 or 5 years., 2019-10-17, X, Debian, general  server  desktop  supercomputer  IBM mainframe, Gratis, Active
Univention Corporate Server, Univention GmbH, Univention GmbH, 2004, 4.4[71], up to 6 months for the free Core Edition; if maintenance is purchased  it's up to 7 years  see:[72], 2019-03-12, X, Debian, home  business  and school, Core Edition is gratis, Active
Ututo, Diego Saravia  Daniel Olivera, UTUTO dev team, 2000, XS 2012, ?, 2012-04-27, 100% Free: GNU FSDG, Ututo XS: Gentoo Linux  Ututo UL: Ubuntu, general, Gratis, Active
VectorLinux, Robert S. Lange, dev team, 1999, VL 7.2[73], ?, 2017-08-28, X, Slackware, desktop, Gratis, ?
Void Linux, Juan Romero Pardines, Juan RP and contributors, 2008, Rolling, Rolling, 2017-10-07, X, Independent  partially inspired by FreeBSD/NetBSD, general, Gratis, Active
Webconverger, Kai Hendry, Webconverger Limited, 2007, 35.0, ?, 2016-05-19, X, Debian, kiosk software  digital signage, Commercial, Active
Xandros, Xandros Incorporated, Xandros Incorporated, 2001, ?, ?, 2007-07-26, X, Corel Linux, ?, Commercial, Inactive
Zentyal, eBox Technologies, eBox Technologies, 2005, 6.0[74], ?, 2018-10-30, X, Debian  Ubuntu, small business server, Some editions are gratis, ?
Zenwalk, Jean-Philippe Guillemin, dev team, 2004, Rolling[75], ?, 2018-03-09, X, Slackware, general, Gratis, Active
Zorin OS, Zorin Group, Zorin Group, 2009, OS 15[76], ?, 2019-06-05, X, Ubuntu, general  desktop  windows & mac-like experience, Zorin OS Lite & Core are free  while Business and Ultimate are paid for, Active
Distribution, Founder, Maintainer, Initial release year, Current stable version, Security updates (years), Release date, System distribution commitment, Forked from, Target audience, Cost, Status
