Application and developer, Latest version/release + date, Schematic?, Simulation?, PCB editing?, Runs on POSIX style systems?, Runs on Windows?, Other platforms?, Open source?, User Interface Language(s), Imports, Exports, Scripting support
Advanced Design System by Keysight EEsof EDA, 2019 15 November 2018 (13 months ago) (2018-11-15)[1], Yes, Yes, Yes, Yes[2], Yes[2], SuSE  RHEL[2], No, en, HSPICE  SPICE  Spectre netlists; Gerber  Excellon  ODB++  artwork; more, HSPICE  SPICE  Spectre netlists; Gerber  Excellon  ODB++  artwork; more, Python  Application Extension Language (proprietary; "AEL")
gEDA, 1.8.2[5] 25 September 2013 (6 years ago) (2013-09-25), Yes, Yes, Yes, Yes, Yes, Linux  Mac, Yes, en, gschem netlists  image as background, Gerber  Excellon  SVG  PDF  EPS  PNG  GIF  JPEG  Specctra  XYRS, yes
KiCad, 5.1.4[6] 14 August 2019 (5 months ago) (2019-08-14), Yes, Internal: Ngspice External: SPICE netlist export, Yes, Yes, Yes, Linux  Mac, Yes, zh_CN  de  en  es  fr  it  pt  ru  ja  pl  cz, TinyCAD net lists  OrCAD EDIF  EAGLE (XML), PDF  Gerber  Gerber X2  Excellon  netlist  VRML2  STEP  IDFv3, Python
OrCAD, 17.2 October 2016 (3 years ago) (2016-10), Yes, Yes, Yes, No, Yes, No, No, en, EAGLE  PADS  Altium  STEP  DXF  IDF  IDX  OrCAD SDT  OrCAD Layout OrCAD, PDF  Gerber  Gerber X2  Excellon drill/route  netlist  ODB++  DXF  IDF  IDX  STEP 3D PDF  IPC2581, Tcl/TK  SKILL (Lisp)
pcb-rnd, 2.1.4[7] 30 October 2019 (2 months ago) (2019-10-30), No, external: OpenEMS, Yes, Yes, Yes, Linux  Mac, Yes, en, gschem netlists  Protel Autotrax  KiCad (legacy & s-expr layouts)  EAGLE (XML & v3 4 5 binary layouts)  eeschema netlists  mentor netlists  TinyCad netlists  LT-Spice  MUCS  Specctra  Mentor Graphics Hyperlynx  BMP  JPG  GIF  HPGL  image as background, Gerber/[Excellon format|drill] SVG  PDF  EPS  PNG  GIF  JPEG  Specctra  Protel Autotrax  KiCad (legacy & s-expr)  DXF  FidocadJ  Mentor Graphics Hyperlynx  template configurable XYRS/BOM, Python  lua  perl  tcl  AWK (multiple dialects)  lisp & scheme (multiple dialects)  javascript  ruby  pascal  BASIC
Upverter, 10 May 2019 (8 months ago) (2019-05-10), Yes, No, Yes, Yes, Yes, Web application, No, en, Altium  OrCad  PDF  OpenJSON  EAGLE, PDF  Gerber  Excellon  netlist  PADS Layout Netlist  Tempo Automation  Pick and Place CSV  High-Res PNG  STL  CSV-formatted drill chart  CSV-formatted list of all parts
Micro-Cap (end-of-life), 12.0.2.3 18 November 2019 (57 days ago) (2019-11-18), Yes, Yes, No, No, Yes, Wine, No, en  jp, HSPICE  PSPICE  SPICE3  netlists  Images  IBIS  Touchstone, SPICE text file  netlist  BOM  Protel  Accel  OrCad  PADS netlists  Schematic and Analysis Plots Images  Numeric Output Text  Excel
Pulsonix by WestDev Ltd, 10.0 1 October 2018 (15 months ago) (2018-10-01), Yes, Yes, Yes, No, Yes, Wine, No, en, Allegro  Altium  CadStar  EAGLE  OrCAD  PADS  P-CAD  Protel  Gerber  STEP  DXF  IDF  more, Gerber  Gerber X2  Excellon  ODB++  IPC-2581  PDF  DXF  STEP  IDF  BOM  more, Proprietary language  ActiveX
TARGET 3001!, 20.3.0.64 29 April 2019 (8 months ago) (2019-04-29), Yes, Yes, Yes, No, Yes, No, No, en  de  fr, EAGLE  DXF  Gerber  XGerber  Excellon  BMP  CXF  STEP 3D, XGerber  Excellon  EAGLE  HPGL  G-Code (Milling)  CXF  STEP 3D  Excel BOMs  Pick&Place  GenCAD  FABmaster  IPC D-356  Test points  Netlists  OBJ  POV-Ray  PDF
NI Ultiboard and Multisim by National Instruments, 14.2 19 May 2019 (7 months ago) (2019-05-19) [8], Yes, Yes, Yes, No, Yes, Web application [9], No, en, MS*  MP*  EWB  Spice  OrCAD  UltiCap  Protel  Gerber  DXF  Ultiboard 4&5  Calay, BOM  Gerber  Excellon  IGES (3D)  DXF (2D & 3D)  SVG
123D Circuits by Autodesk, N/A, Yes  + breadboard, Yes, Yes, Yes, Yes, Web application, No, en, EAGLE, Gerber
Application and developer, Latest version/release + date, Schematic?, Simulation?, PCB editing?, Runs on POSIX style systems?, Runs on Windows?, Other platforms?, Open source?, User Interface Language(s), Imports, Exports, Scripting support
