Distribution, Founder, Maintainer, Initial release year, Current stable version, Security updates (years), Release date, System distribution commitment, Forked from, Target audience, Cost, Status
Rocks Cluster Distribution, UCSD Supercomputing Center  Clustercorp, UCSD Supercomputing Center  Clustercorp, 2000, 01/07/00, ?, 01/12/15, X, Red Hat Linux, server  workstation, Gratis, Active
Sabayon Linux, Fabio Erculiani, dev team, 2005, 19.03[59], ?, 31/03/19, X, Gentoo Linux, general, Gratis, Active
Salix OS, Cyrille Pontvieux  George Vlahavas  Pierrick Le Brun  Thorsten Mühlfelder, Salix team, 2009, 14/02/19, ?, 29/08/16, X, Slackware, general, Gratis, ?
Scientific Linux, CERN  Fermilab, dev team, 2004, 7.6[60], ?, 03/12/18, X, Red Hat Linux  Red Hat Enterprise Linux (RHEL), server  workstation, Gratis, Active
Slackware, Patrick Volkerding, dev team, 1993, 14.2[61], ?, 30/06/16, X, Softlanding Linux System (SLS), general, Gratis, Active
Slax, Tomas Matejicek, Tomas Matejicek, 2002, 9.9.1[62], ?, 17/06/19, X, Debian  Slackware (until Slax 9), live, Gratis, Active
SliTaz GNU/Linux, Christophe Lincoln, dev team, 2008, Rolling, Rolling, 03/12/17, X, Independent, portable, Gratis, Active
Solus, Ikey Doherty, dev team, 2005, Rolling, Rolling, 15/08/17, X, –, desktop, Gratis, Active
SolydXK, Arjen Balfoort, dev team, 2013, 201902[63], Debian packages as per Debian, 03/03/19, X, Debian, desktop, Gratis, Active
SparkyLinux, ?, Sparky Linux team, 2012, 5.7.1[64], ?, 03/04/19, X, Debian, general  video games, Gratis, Active
Source Mage GNU/Linux, Ryan Abrams  Eric Schabell, dev team, 2002, 0.62-11, ?, 22/10/17, Source Mage Social Contract, Sorcerer, general, Gratis, Active
SteamOS, Valve Corporation, Valve Corporation, 2013, 2.195[65], ?, 19/07/19, X, Debian, video games, Gratis, Active
SUSE Linux Enterprise, SUSE, SUSE, 2000, 15SP1, ?, 12/08/19, X, Slackware  Jurix, workstation  server  supercomputer, Commercial[66], Active
Tails, ?, Tails Development Team, 2009, 3.14.2[67], –[g 2], 23/06/19, X, Debian, security-focused aimed for anonymity and privacy, Gratis, Active
Tiny Core Linux, Robert Shingledecker, Team Tiny Core, 2009, 10/01/19, ?, 20/01/19, X, Independent  inspired from Damn Small Linux, portable, Gratis, Active
Tor-ramdisk, Anthony G. Basile, dev team, 2008, 20170130, ?, 30/01/17, X, Gentoo Linux Embedded  uClibc, Tor server, Gratis, Active
Trisquel GNU/Linux, Rubén Rodríguez Pérez (quidam), Rubén Rodríguez Pérez (quidam), 2005, 8.0[g 3], 5 years, 18/04/18, 100% Free: GNU FSDG, Ubuntu LTS, desktop, Gratis, Active
TurnKey GNU/Linux, Alon Swartz  Liraz Siri, TurnKey GNU/Linux Team, 2008, 15.x[68], Debian packages as per Debian; TurnKey packages for life of current major version (plus backports per request), 28/06/19, Debian Social Contract and DFSG, Debian, server based software appliance library aiming to balance security and ease of use, Gratis, Active
Ubuntu and Derivatives[69], Canonical Ltd., Canonical Ltd., 2004, 19.10[70], Standard releases 1 year  LTS releases 5 years. Flavor LTS releases 3 or 5 years., 17/10/19, X, Debian, general  server  desktop  supercomputer  IBM mainframe, Gratis, Active
Univention Corporate Server, Univention GmbH, Univention GmbH, 2004, 4.4[71], up to 6 months for the free Core Edition; if maintenance is purchased  it's up to 7 years  see:[72], 12/03/19, X, Debian, home  business  and school, Core Edition is gratis, Active
Ututo, Diego Saravia  Daniel Olivera, UTUTO dev team, 2000, XS 2012, ?, 27/04/12, 100% Free: GNU FSDG, Ututo XS: Gentoo Linux  Ututo UL: Ubuntu, general, Gratis, Active
VectorLinux, Robert S. Lange, dev team, 1999, VL 7.2[73], ?, 28/08/17, X, Slackware, desktop, Gratis, ?
Void Linux, Juan Romero Pardines, Juan RP and contributors, 2008, Rolling, Rolling, 07/10/17, X, Independent  partially inspired by FreeBSD/NetBSD, general, Gratis, Active
Webconverger, Kai Hendry, Webconverger Limited, 2007, 35.0, ?, 19/05/16, X, Debian, kiosk software  digital signage, Commercial, Active
Xandros, Xandros Incorporated, Xandros Incorporated, 2001, ?, ?, 26/07/07, X, Corel Linux, ?, Commercial, Inactive
Zentyal, eBox Technologies, eBox Technologies, 2005, 6.0[74], ?, 30/10/18, X, Debian  Ubuntu, small business server, Some editions are gratis, ?
Zenwalk, Jean-Philippe Guillemin, dev team, 2004, Rolling[75], ?, 09/03/18, X, Slackware, general, Gratis, Active
Zorin OS, Zorin Group, Zorin Group, 2009, OS 15[76], ?, 05/06/19, X, Ubuntu, general  desktop  windows & mac-like experience, Zorin OS Lite & Core are free  while Business and Ultimate are paid for, Active
