Software Name, Developer, First public release, Predecessor, Latest Stable version / (Date), Operating system, Price in USD, License, Microsoft Office (.doc  .xls) support, Microsoft Office Open XML support, OpenDocument support, Portable Document Format support
MarinerPak, Mariner Software, 1996, —, 10.0, Classic Mac OS  Mac OS X, {{nonfree|79.95}}, {{proprietary}}, {{yes2}} Import, {{no}}, {{no}}, {{no}}
Microsoft Office, Microsoft, 1990 (Macintosh)  1992 (Windows), Microsoft Word Microsoft Excel Microsoft PowerPoint, 2016 (16.0) (Windows)  2016 (15.4.0) (Mac OS), Windows  Mac OS, {{Nonfree|89.95 - 679.95}}, {{proprietary}}, {{yes}}, {{yes}}[5], {{partial|Windows and Office 365 versions only}}, {{yes}}
Microsoft Works (Discontinued in 2009), Microsoft, 1986, —, Discontinued, Windows  Macintosh, Discontinued, {{proprietary}}, {{yes}}, {{yes}}, {{no}}, {{no}}
MobiSystems OfficeSuite, MobiSystems, 2004, —, Android version: 10.1.16353[6] iOS version: 6.6[7] Windows version: 2.95.18960.0[8], Android  iOS  Windows[9], {{Depends|Free version with ads and limited support; €29.99/year for all platforms}}, {{proprietary}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
NeoOffice, Planamesa Software, 2005-06-02, based on OpenOffice.org re-coded for Mac OS, 3.2, Mac OS, {{Nonfree|$10/yr  $29.99 Mac App Store (free old versions)}}, {{free|GNU GPL}}, {{yes}}, {{yes}}, {{yes}}, {{yes|Import with free plugin}}
StarOffice a.k.a. Oracle Open Office, Sun Microsystems for 10 years  Oracle for 1 year, 1995, StarWriter, 9.0, Windows  Mac OS  Linux  BSD  Unix  Solaris/Illumos, {{Nonfree|34.95}}, {{proprietary}}, {{yes}}, {{yes2}} With free plugins, {{yes|Native format}}, {{yes|Import with free plugin}}
SoftMaker Office, SoftMaker, 1987 (for DOS)  1994 (for Windows)[10], —, 2016 (Windows: {{Release date and age|2015|05|19|df=yes}} [11] Linux: {{Release date and age|2015|12|09|df=yes}}[12])  Office HD for Android: {{Release date and age|2014|11|24|df=yes}}  Office Mobile for Android: {{Release date and age|2012|08|31|df=yes}} [13] 2010 (Windows Mobile  Windows CE)  2006 (Handheld PC), Windows  Linux  Android  Windows Mobile  Windows CE  Pocket PC), {{depends|Version-dependent  e.g. SM Office 2012 99.95 (19.95 Acad.); free for FreeOffice; SM Office 2016 is free for educational institutions}}, {{proprietary}}, {{yes}}, {{yes}}, {{partial}}  only ODT export  no Import[14], {{yes2}} Export
OnlyOffice, Ascensio Systems, 2010, —, —, Fully online, {{depends|Free for non-commercial use  75-7 200 per year for commercial use}}, {{free|GNU AGPL}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
TeXmacs, Joris van der Hoeven, 1996?, —, 2012, Windows  Mac OS  Linux  BSD  Unix, {{free}}, {{free|GNU GPL}}, {{no}}, {{no}}, {{no}}, {{no}}
ThinkFree Office, Haansoft, 1998, —, 3.5, Mac OS X v10.4  Windows  Linux  Fully online, {{Nonfree|49.95  Online Versions free}}, {{proprietary}}, {{yes}}, {{yes}}, {{no}}[15][16], {{yes}}
Tiki Wiki CMS Groupware, Tiki Software Community Association, 2002, —, 12.2 LTS  9.8 LTS and 6.14 LTS, Fully online, {{free}}, {{free|GNU LGPL}}, {{yes2}} search, {{yes2}} search, {{yes2}} search, {{yes2}} Export and search
WordPerfect Office, Corel, 1991, WordPerfect (1982), {{Latest stable software release/WordPerfect}}, Windows, {{Nonfree|69.99 - 399.99}}, {{proprietary}}, {{yes}}, {{yes}}, {{yes}}, {{yes2}} Some versions
WPS Office (Kingsoft Office), Kingsoft, 1988, —, PC 11.2.0 by April 2019, Windows  Linux  Android  iOS  Mac, {{depends|$119.99 perpetual license; $29.99 annual subscription; free with ads }}, License, {{yes}}, {{Yes}}, {{Yes2}} With free add-in[17][18], {{yes2}} Export in all versions; Import with subscription only
Zoho Office Suite, Zoho Corp., 2005, —, , Fully online, {{Nonfree|Up to 96 per user per year  depending on feature set}}, {{proprietary}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
Software Name, Developer, First public release, Predecessor, Latest Stable version / (Date), Operating system, Price in USD, License, Microsoft Office (.doc  .xls...) support, Microsoft Office Open XML support, OpenDocument Support, Portable Document Format support
