Vehicle, Origin, Manufacturer, Mass to ... (kg), Launches {{small|(+ suborbital)}}, Date of flight
 LEO, GTO, Other, First, Last
 Vanguard, {{USA}}, Martin, {{nts|9}}[327], , , {{nts|11}} (+1), 1957, 1959
 Vector-R{{efn|group=note|Two suborbital test flights were performed in 2017.[328]}}, {{USA}}, Vector Space Systems, {{nts|64}}[329], , , {{nts|0}}, Canceled[330], 
 Vector-H, {{USA}}, Vector Space Systems, {{nts|160}}[328], , , {{nts|0}}, Canceled[330], 
 VLS-1, {{BRA}}, AEB  IAE, {{nts|380}}[331], , , {{nts|2}}[332] (never reached orbit), 1997, 2003
 Volna, {{RUS}}, Makeyev, {{nts|100}}[333], , , {{nts|1}} (+5)[292], 1995[334], 2005[292]
 Voskhod, {{USSR}}, RSC Energia, {{nts|6000}}[335], , , {{nts|306}}, 1963, 1976
 Vostok-L, {{USSR}}, RSC Energia, , , {{nts|390}} to TLI[336], {{nts|4}}, 1960, 1960
 Vostok-K, {{USSR}}, RSC Energia, {{nts|2460}}[337], , , {{nts|16}}, 1960, 1964
 Vostok-2, {{USSR}}, RSC Energia, {{nts|4730}}[337], , , {{nts|45}}, 1962, 1967
 Vostok-2M, {{USSR}}, RSC Energia, {{nts|1300}}[338], , , {{nts|93}}, 1964, 1991
 Soyuz/Vostok, {{USSR}}, RSC Energia, {{nts|6000}}[339], , , {{nts|2}}, 1965, 1966
 Zenit-2, {{USSR}} {{UKR}}, Yuzhnoye, {{nts|13740}}[340], , , {{nts|36}}[341], 1985, 2004[342]
 Zenit-2M / 2SLB, {{UKR}}, Yuzhnoye, {{nts|13920}}[340], , , {{nts|2}}[341], 2007, 2011
 
