Distribution, x86, x86-64, ia64, ppc[103], ppc64, sparc32, sparc64, arm, hppa[104], loongson, mips[105], sh, s390, s390x, alpha[106], m68k[107], riscv
Scientific Linux, {{yes}}, {{yes}}, {{partial|Discontinued 3-4}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
SHR, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Slackware, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{partial|Discontinued ?}}[161], {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{partial|Discontinued ?}}[162], {{partial|Discontinued ?}}[162], {{partial|Discontinued 8.1}}[163], {{no}}
Solus, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Source Mage GNU/Linux, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{dunno}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
SUSE Linux Enterprise Server[164], {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{partial|AArch64 only[165]}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}
Tor-ramdisk, {{yes}}, {{yes}}[166], {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}[167], {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Trisquel GNU/Linux, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
TurnKey GNU/Linux, {{partial|Selected ISOs available}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no|No - but under development by community}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Ubuntu/Kubuntu/Xubuntu/Lubuntu, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}  including 64-bit ARMv8-A, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{partial|Ubuntu only  16.04+}}[168], {{no}}, {{no}}
Ututo, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{partial|In progress}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Void Linux, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
XBMCbuntu, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Yellow Dog Linux, {{no}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Distribution, x86, x86-64, ia64, ppc, ppc64, sparc32, sparc64, arm, hppa, loongson, mips, sh, s390, s390x, alpha, m68k, riscv
