Name, Creator, Host CPU, Guest CPU, Host OS, Guest OS, License
 INTEGRITY, Green Hills Software, ARM  x86  PowerPC, Same as host, Linux  Windows, INTEGRITY native  Linux  Android  AUTOSAR  Windows (on some platforms), {{Proprietary}}
 Integrity Virtual Machines, Hewlett-Packard, IA-64, IA-64, HP-UX, HP-UX  Windows  Linux (OpenVMS announced), {{Proprietary}}
 JPC (Virtual Machine), Oxford University, Any running the Java Virtual Machine, x86, Java Virtual Machine, DOS  Linux  Windows up to 3.0, {{free|GPL version 2}}
 KVM, Qumranet  now Red Hat, x86  x86-64  IA-64  with x86 virtualization  s390  PowerPC [4] ARM [5], Same as host, Linux  FreeBSD  illumos, FreeBSD  Linux  Solaris  Windows  Plan 9, {{free|GPL version 2}}
 Linux-VServer, Community project, x86  x86-64  IA-64  Alpha  PowerPC 64  PA-RISC 64  SPARC64  ARM  S/390  SH/66  MIPS, Compatible, Linux, Linux variants, {{free|GPL version 2}}
 LynxSecure, LynuxWorks, x86, x86, No host OS, LynxOS  Linux  Windows, {{Proprietary}}
 LXC, Community project  Canonical Ltd., x86  x86-64  IA-64  PowerPC 64  SPARC64  Itanium  ARM, Same as host, Linux, Linux variants, {{free|GPL version 2}}
 OKL4 Microvisor, Open Kernel Labs  acquired by General Dynamics Corporation, ARM  x86  MIPS, ARM (v5  v6  v7; paravirtualization)  ARMv7VE (hardware virtualization), No Host OS, Various OSes and RTOSes including Linux  Android  QNX, {{Proprietary}}
 OpenVZ, Community project  supported by SWsoft  now Parallels  Inc., x86  x86-64  IA-64  PowerPC 64  SPARC64, Same as host, Linux, same as host (shared Linux kernel)  choice of userland distribution, {{free|GPL}}
 Oracle VM Server for x86, Oracle Corporation, x86  x86-64, x86  x86-64, No host OS, Microsoft Windows  Oracle Linux  Red Hat Enterprise Linux  Solaris, {{free|GPLv2}}  Oracle VM Server; Manager is proprietary
 OVPsim, OVP, x86, OR1K  MIPS32  ARC600/700  ARM; and public API which enables users to write custom processor models  RISC  CISC  DSP  VLIW all possible, Microsoft Windows  Linux, Depends on target machine  for example includes MIPS Malta that runs Linux or SMP-Linux; and includes public API which enables users to write custom peripheral and system models, {{proprietary}}  Apache 2.0 for models
 Parallels Desktop for Mac, Parallels  Inc., x86, x86  x86-64, macOS, DOS  Windows  Linux  macOS  FreeBSD  OS/2  eComStation  Solaris  Haiku, {{Proprietary}}
 Parallels Workstation (discontinued 2013), Parallels  Inc., x86, x86, Windows  Linux, Windows  Linux  FreeBSD  OS/2  eComStation  DOS  Solaris  Haiku, {{Proprietary}}
 PearPC, Sebastian Biallas, x86  x86-64  PowerPC, PowerPC, Windows  Linux  {{nowrap|OS X}}  FreeBSD  NetBSD, {{nowrap|Mac OS X}}  Darwin  Linux, {{free|GPL}}
 PikeOS, SYSGO AG, PowerPC  x86  ARM  MIPS  SPARC  SuperH, Same as host, No host OS  Linux or Windows as dev. hosts, PikeOS native  Linux  POSIX  AUTOSAR  Android  RTEMS  OSEK  ARINC 653 APEX  ITRON, {{Proprietary}}
 Proxmox VE, Proxmox, x86-64, x86  x86-64, Debian Based, Windows  Linux  Linux variants  Solaris  FreeBSD  OSx86 (as FreeBSD)  virtual appliances  Netware  OS/2  SCO  BeOS  Haiku  Darwin, {{free|AGPLv3}}
 Oracle VM Server for SPARC (LDoms), Oracle Corporation, UltraSPARC T1  UltraSPARC T2  UltraSPARC T2+  SPARC T3  SPARC T4, Compatible, Solaris 10  Solaris 11, Oracle support: Solaris; unsupported: Linux  FreeBSD, {{Proprietary}}
 PowerVM, IBM, POWER4  POWER5  POWER6  POWER7  POWER8, POWER4/5/6/7/8  x86 (PowerVM-Lx86), PowerVM Firmware, Linux PowerPC  x86; AIX  IBM i, {{Proprietary}}
 QEMU, Fabrice Bellard  other developers, x86  x86-64  IA-64  PowerPC  SPARC 32/64  ARM  S/390  MIPS, x86  x86-64  Alpha  ARM  CRIS  LM32  M68k  MicroBlaze  MIPS  OpenRisc32  PowerPC  S/390  SH4  SPARC 32/64  Unicore32  Xtensa, Windows  Linux  macOS  Solaris  FreeBSD  OpenBSD  BeOS, Changes regularly[6], {{free|GPL/LGPL}}
 QEMU w/ kqemu module, Fabrice Bellard, x86  x86-64, Same as host, Linux  FreeBSD  OpenBSD  Solaris  Windows, Changes regularly[6], {{free|GPL/LGPL}}
 QEMU w/ qvm86 module, Paul Brook, x86, x86, Linux  NetBSD  Windows, Changes regularly, {{free|GPL}}
 QuickTransit, Transitive Corp., x86  x86-64  IA-64  POWER, MIPS  PowerPC  SPARC  x86, Linux  {{nowrap|OS X}}  Solaris, Linux  {{nowrap|OS X}}  Irix  Solaris, {{Proprietary}}
 RTS Hypervisor, Real-Time Systems GmbH, x86  x86-64, x86  x86-64, No host OS, Windows  Linux  Windows Embedded  QNX  RTOS-32  VxWorks  OS-9  T-Kernel, {{Proprietary}}
 ScaleMP vSMP Foundation, ScaleMP, x86  x86-64, Same as host, No host OS, Linux, {{Proprietary}}
 SIMH, Bob Supnik  The Computer History Simulation Project, Alpha  ARM  HPPA  x86  IA-64  x86-64  M68K  MIPS  MIPSel  POWER  s390  SPARC, Data General Nova  Eclipse; Digital Equipment Corporation PDP-1  PDP-4  PDP-7  PDP-8  PDP-9  PDP-10  PDP-11  PDP-15  VAX; GRI Corporation GRI-909; IBM 1401  1620  1130  7090/7094  System/3; Interdata (Perkin-Elmer) 16b/32b systems; Hewlett-Packard 2114  2115  2116  2100  21MX; Honeywell H316/H516; MITS Altair 8800 with 8080 and Z80; Royal McBee LGP-30  LGP-21; Scientific Data Systems SDS 940, BSD  Linux  Solaris  VMS  Windows, Depends on target machine  includes NetBSD/VAX  OpenBSD/VAX  VAX/VMS  Unix v6  Unix v7  TOPS-10  TOPS-20  ITS, {{free|BSD-like  unique}}
 Simics, Wind River, x86  x86-64, 8051  68000  ARM (v4  v5  v6  v7)  MIPS32  MIPS64  Cavium cnMIPS  Broadcom XLR MIPS  Freescale (e300  e500  e600  e5500  e6500)  IBM (POWER  PPC44x  PPC46x  47x)  SPARC v8 (LEON)  SPARC v9 (UltraSparc)  x86 (from 80286 to Sandy Bridge)  x86-64 (from Pentium4 to Sandy Bridge)  
