, Selection editing, Layers, Alpha Channel, Histogram, Scripting, HDR, Retouching, Resizing, Noise removal, Lens correction, Sized Printing, Sharpening, Color correction, Image library, Plug-in support[17], Non-destructive editing
OpenCanvas, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{no}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{dunno}}, {{dunno}}
Paint.NET, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{partial}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}
Paint Tool SAI, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
PC Paintbrush*, {{yes}}, {{no}}, {{dunno}}, {{no}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
Photogenics, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{dunno}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
PhotoLine, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
PhotoPerfect*, {{yes}}, {{no}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{dunno}}
Photos, {{no}}, {{no}}, {{dunno}}, {{yes}}, {{partial}}[25], {{no}}, {{yes}}, {{partial}}, {{yes}}, {{partial}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
Photo Raster, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{dunno}}
Picasa*, {{no}}, {{no}}, {{dunno}}, {{yes}}, {{no}}, {{partial}}[26], {{partial}}, {{partial}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}
PicMaster, {{yes}}, {{no}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{dunno}}
PixBuilder Photo Editor, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
Pixelmator, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}
Pixia, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}
Project Dogwaffle, {{dunno}}, {{yes|Commercial version}}, {{dunno}}, {{yes}}, {{partial}}, {{no}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{dunno}}
QFX, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}
RawTherapee, {{no}}, {{no}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}
Serif PhotoPlus, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{dunno}}
Side Effects Houdini, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{dunno}}
Tux Paint, {{no}}, {{no}}, {{dunno}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{dunno}}
TVPaint, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}, {{yes}}, {{dunno}}
Ulead PhotoImpact*, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}
Ultimate Paint*, {{yes}}, {{no}}, {{dunno}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
WinImages, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
Xara Photo & Graphic Designer, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{partial}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
XnView, {{no}}, {{Partial}}, {{dunno}}, {{Partial}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}
XPaint, {{yes}}, {{Partial}}, {{dunno}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{Partial}}, {{yes}}, {{no}}
Zoner Photo Studio, {{yes}}, {{partial}}[27], {{dunno}}, {{yes}}, {{no}}[28], {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}
