Distribution, Founder, Maintainer, Initial release year, Current stable version, Security updates (years), Release date, System distribution commitment, Forked from, Target audience, Cost, Status
Solus, Ikey Doherty, dev team, {{date|2005|iso}}, Rolling, Rolling, {{date|2017-08-15|iso}}, {{Proprietary|X}}, –, desktop, {{Free|Gratis}}, {{site active}}
SolydXK, Arjen Balfoort, dev team, {{date|2013|iso}}, 201902[64], Debian packages as per Debian, {{date|2019-03-03|iso}}, {{Proprietary|X}}, Debian, desktop, {{Free|Gratis}}, {{site active}}
SparkyLinux, {{dunno}}, Sparky Linux team, {{date|2012|iso}}, 5.7.1[65], {{dunno}}, {{date|2019-04-03|iso}}, {{Proprietary|X}}, Debian, general  video games, {{Free|Gratis}}, {{site active}}
Source Mage GNU/Linux, Ryan Abrams  Eric Schabell, dev team, {{date|2002|iso}}, 0.62-11, {{dunno}}, {{date|2017-10-22|iso}}, {{Partial|Source Mage Social Contract}}, Sorcerer, general, {{Free|Gratis}}, {{site active}}
SteamOS, Valve, Valve, {{Date|2013|iso}}, 2.195[66], {{dunno}}, {{date|2019-07-19|iso}}, {{Proprietary|X}}, Debian, video games, {{Free|Gratis}}, {{site active}}
SUSE Linux Enterprise, SUSE, SUSE, {{date|2000|iso}}, 15SP1, {{dunno}}, 2019-08-12, {{Proprietary|X}}, Slackware  Jurix, workstation  server  supercomputer, {{no|Commercial}}[67], {{site active}}
Tails, {{dunno}}, Tails Development Team, {{date|2009|iso}}, 3.14.2[68], –[69], 2019-06-23, {{Proprietary|X}}, Debian, security-focused aimed for anonymity and privacy, {{Free|Gratis}}, {{site active}}
Tiny Core Linux, Robert Shingledecker, Team Tiny Core, {{date|2009|iso}}, 10.1, {{dunno}}, {{date|2019-01-20|iso}}, {{Proprietary|X}}, Independent  inspired from Damn Small Linux, portable, {{Free|Gratis}}, {{site active}}
Tor-ramdisk, Anthony G. Basile, dev team, {{date|2008|iso}}, 20170130, {{dunno}}, {{date|2017-01-30|iso}}, {{Proprietary|X}}, Gentoo Linux Embedded  uClibc, Tor server, {{free|Gratis}}, {{site active}}
Trisquel GNU/Linux, Rubén Rodríguez Pérez (quidam), Rubén Rodríguez Pérez (quidam), {{date|2005|iso}}, 8.0[70], 5 years, {{date|2018-04-18|iso}}, {{Free|100% Free: GNU FSDG}}, Ubuntu LTS, desktop, {{Free|Gratis}}, {{site active}}
TurnKey GNU/Linux, Alon Swartz  Liraz Siri, TurnKey GNU/Linux Team, {{date|2008|iso}}, 15.x[71], Debian packages as per Debian; TurnKey packages for life of current major version (plus backports per request), {{date|2019-06-28|iso}}, {{Partial|Debian Social Contract and DFSG}}, Debian, server based software appliance library aiming to balance security and ease of use, {{Free|Gratis}}, {{site active}}
Ubuntu and Derivatives[72], Canonical Ltd., Canonical Ltd., {{date|2004|iso}}, 19.10[73], Standard releases 1 year  LTS releases 5 years. Flavor LTS releases 3 or 5 years., {{date|2019-10-17|iso}}, {{Proprietary|X}}, Debian, general  server  desktop  supercomputer  IBM mainframe, {{Free|Gratis}}, {{site active}}
Univention Corporate Server, Univention GmbH, Univention GmbH, {{date|2004|iso}}, 4.4[74], up to 6 months for the free Core Edition; if maintenance is purchased  it's up to 7 years  see:[75], {{date|2019-03-12|iso}}, {{Proprietary|X}}, Debian, home  business  and school, {{Free|Core Edition is gratis}}, {{site active}}
Ututo, Diego Saravia  Daniel Olivera, UTUTO dev team, {{date|2000|iso}}, XS 2012, {{dunno}}, {{date|2012-04-27|iso}}, {{Free|100% Free: GNU FSDG}}, Ututo XS: Gentoo Linux  Ututo UL: Ubuntu, general, {{Free|Gratis}}, {{site active}}
VectorLinux, Robert S. Lange, dev team, {{date|1999|iso}}, VL 7.2[76], {{dunno}}, 2017-08-28, {{Proprietary|X}}, Slackware, desktop, {{free|Gratis}}, {{dunno}}
Void Linux, Juan Romero Pardines, Juan RP and contributors, {{date|2008|iso}}, Rolling, Rolling, {{date|2017-10-07|iso}}, {{Proprietary|X}}, Independent  partially inspired by FreeBSD/NetBSD, general, {{free|Gratis}}, {{site active}}
Webconverger, Kai Hendry, Webconverger Limited, {{date|2007|iso}}, 35.0, {{dunno}}, {{date|2016-05-19|iso}}, {{Proprietary|X}}, Debian, kiosk software  digital signage, {{no|Commercial}}, {{site active}}
Xandros, Xandros Incorporated, Xandros Incorporated, {{Date|2001|iso}}, {{dunno}}, {{dunno}}, {{date|2007-07-26|iso}}, {{Proprietary|X}}, Corel Linux, {{dunno}}, {{no|Commercial}}, {{site inactive}}
Zentyal, eBox Technologies, eBox Technologies, {{date|2005|iso}}, 6.0[77], {{dunno}}, {{date|2018-10-30|iso}}, {{Proprietary|X}}, Debian  Ubuntu, small business server, {{Partial|Some editions are gratis}}, {{dunno}}
Zenwalk, Jean-Philippe Guillemin, dev team, {{date|2004|iso}}, Rolling[78], {{dunno}}, 2018-03-09, {{Proprietary|X}}, Slackware, general, {{free|Gratis}}, {{site active}}
Zorin OS, Zorin Group, Zorin Group, 2009, OS 15[79], {{dunno}}, 2019-06-05, {{Proprietary|X}}, Ubuntu, general  desktop  windows & mac-like experience, {{Partial|Zorin OS Lite & Core are free  while Business and Ultimate are paid for}}, {{site active}}
Distribution, Founder, Maintainer, Initial release year, Current stable version, Security updates (years), Release date, System distribution commitment, Forked from, Target audience, Cost, Status
