, TGA, RAW imports, BMP, GIF, JPEG, JPEG 2000, HD Photo, PNG, TIFF, PSD, PSP, XCF, PCX, ORA, HEIF
PixBuilder Photo Editor, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, , 
Pixelmator, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, , 
Pixia, {{dunno}}, {{dunno}}, {{yes}}, {{no}}, {{yes}}, {{no}}, , {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, , 
PMview, {{dunno}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, , 
Project Dogwaffle, {{dunno}}, {{dunno}}, {{yes}}, {{no}}, {{yes}}, {{no}}, , {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, , 
QFX, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, , 
RawTherapee, {{dunno}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, , 
Seashore, {{dunno}}, {{no}}, {{partial}}, {{partial}}, {{yes}}, {{partial}}, , {{yes}}, {{yes}}, {{no}}, {{dunno}}, {{yes}}, {{dunno}}, , 
Serif PhotoPlus, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, , 
Tux Paint[50], {{dunno}}, {{no}}, {{yes}}, Import, Import, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, , 
TVPaint, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, , {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, , 
Ulead PhotoImpact*, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, {{yes}}, {{partial}}, Import, {{no}}, {{yes}}, , 
Ultimate Paint*, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, , {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, , 
WinImages, {{dunno}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, , {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, , 
Xara Photo & Graphic Designer, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{partial|Import only}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, , 
XnView, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, Import, {{yes}}, , 
XPaint, {{dunno}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, , {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, , 
Zoner Photo Studio, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{partial|Import only}}, {{yes}}, {{yes}}, {{yes}}, {{partial|Import only}}, {{partial|Import only}}, {{no}}, {{yes}}, , 
