Product, Creator, Latest stable release date, Latest stable release, License, Runs on Windows, Runs on Mac OS X, Runs on Linux, Oracle, MySQL, PostgreSQL, MS SQL Server, ODBC, JDBC, SQLite, Other, Programming language
Maatkit, Baron Schwartz, 2010-06-01, 5247, GPL, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, , , , , , , Perl
Microsoft SQL Server Management Studio, Microsoft, 2019-07-28[1], 18.2, Proprietary, {{yes}}, {{no}}, {{no}}, , , , {{yes}}, , , , including SSAS management  and MDX  DMX  and XMLA languages, .Net
ModelRight, ModelRight, 2016-12-??, 4.1[2][3], Proprietary, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, , {{yes}}, {{yes}}, , , SQL Server  Oracle  MySQL  PostgreSQL  DB2  DB2/zOS  MS Access, C++
MySQL Workbench, Oracle Corporation, {{MySQL Workbench version|releasedate}}, {{MySQL Workbench version}}, Community Ed: GPL Standard Ed: Commercial Proprietary, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, , , , , , , C++/C# Objective-C Python (programming language)
Navicat, PremiumSoft CyberTech Ltd., 2018-07-26, 12.1, Proprietary, {{yes}}, {{yes}}, {{Depends|requires Wine}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, , Borland Delphi Objective-C
Navicat Data Modeler, PremiumSoft CyberTech Ltd., 2015-12-10, 2.1, Proprietary, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, , Borland Delphi Objective-C
Oracle Enterprise Manager, Oracle Corp., 2015-06-16, 12.1.0.5, Proprietary, {{yes}}, {{No}}, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, , , , DB2  Sybase  TimesTen, Java
Oracle SQL Developer, Oracle Corp., 2018-04-05, 18.1.0.095.1630, Proprietary, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, , Microsoft Access  Sybase  DB2  Teradata, Java
Orbada, Andrzej Kaluza, {{Orbada version|releasedate}}, {{Orbada version}}, GPL, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, Firebird  HSQL  InterBase  Derby all with JDBC driver, Java
pgAdmin III, pgAdmin Development Team, 2012-09-11, 1.22.2, PostgreSQL License, {{yes}}, {{yes}}, {{yes}}, , , {{yes}}, , , , , , C++
phpLiteAdmin, Dane Iracleous  Christopher Kramer and others, 2019-09-05, 1.9.8.2[4], GPL, {{yes}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, , PHP
phpMyAdmin, phpMyAdmin Development Team, {{phpMyAdmin version|releasedate}}, {{phpMyAdmin version}}, GPL, {{yes}}, {{yes}}, {{yes}}, , {{yes}}, , , , , , Drizzle  MariaDB, php
SQL Database Studio, Jan Prochazka, 2016-05-27, 3.4.1, Proprietary, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}, , , , , .NET  WPF  C#
SQLyog, Webyog Softworks Pvt. Ltd., {{SQLyog version|releasedate}}, {{SQLyog version}}, GPLv2, {{yes}}, {{Depends|requires Wine}}, {{Depends|requires Wine}}, , {{yes}}, , , , , , , C++
SQuirreL SQL, Colin Bell  Gerd Wagner  Rob Manning and others, {{SQuirreL SQL Client version|releasedate}}, {{SQuirreL SQL Client version}}, GPLv2 & LGPLv2, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, Access Axion Java RDBMS  Apache Derby  Daffodil DB  FileMaker (JDBC)  Fujitsu Siemens SESAM/SQL  Firebird  FrontBase  HSQLDB  Hypersonic SQL  H2 (DBMS)  IBM DB2  Informix  Ingres  OpenIngres  InstantDB  InterBase  Mckoi SQL Database  Microsoft SQL Server  Mimer SQL  Netezza  Pointbase  SAPDB  Sybase  Sunopsis XML Driver  Teradata Warehouse  ThinkSQL RDBMS  Vertica Analytic Database  and others with JDBC drivers., Java
Toad, Quest Software, Various, Various, Proprietary, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, , {{yes}}, {{yes}}, , , DB2  Sybase, Embarcadero Delphi  C#.NET
Toad Data Modeler, Quest Software, 2009-03-05, 3.3.8, Proprietary, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , , , DB2  MS Access  Sybase, Embarcadero Delphi
TOra, Community, 2017-07-04, 3.2, GPL, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, , , , , Teradata, C++/Qt
