Resort name and website, Nearest city, State/province, Peak elevation (ft), Base elevation (ft), Vertical drop (ft), Skiable acreage, Total trails, Total lifts, Avg annual snowfall (in), Adult weekend lift ticket window price (USD), Date statistics updated
Alyeska Resort [11], Girdwood, Alaska, 3 939, 250, 2 500, 1 400, 73, 9, 643, $89, November 7  2019
Marmot Basin [12], Jasper, Alberta, 8 570, 5 570, 3 000, 1 675, 86, 8, 160, $105, September 19  2019
Lake Louise Mountain Resort [13], Lake Louise, Alberta, 8 650, 5 400, 3 250, 4 200, 139, 9, 180[69], $84.95[70], February 14  2014
Big White Ski Resort [14], Kelowna, British Columbia, 7 606, 4 950, 2 656, 2 800, 118, 16, 294, $76, November 19  2010
Silver Star Mountain Resort [15], Vernon, British Columbia, 6 282, 3 789, 2 500, 3 269, 128, 12, 275, $81, April  2015[71]
Whistler Blackcomb [16], Whistler, British Columbia, 7 494, 2 140, 5 280, 8 171, 200, 37, 404, $93, December 23  2017
Steamboat Springs [17], Steamboat Springs, Colorado, 10 568, 6 900, 3 668, 2 956, 165, 16, 349, $155, December 11  2019[72]
Copper Mountain (Colorado) [18], Frisco, Colorado, 12 313, 9 712, 2 601, 2 450, 126, 22, 282, $190, December 11  2019[73]
Vail Ski Resort, Vail, Colorado, 11 570, 8 120, 3 450, 5 289, 195, 31, 354, $209, December 11  2019[74]
Beaver Creek, Avon, Colorado, 11 440, 8 100, 3 340, 1 832, 150, 24, 195, $209, December 11  2019[75]
Winter Park Resort, Winter Park, Colorado, 12 060, 9 000, 3 060, 3 000, 143, 25, 365, $109, December 8  2019
Saddleback Maine, Farmington, Maine, 4 120, 2 120, 2 000, 485, 66, 5, 200, Temporarily Closed, December 11  2019[76]
Boyne Mountain, Boyne City, Michigan, 1 120, 620, 500, 41, 60, 10, 140, $102, December 11  2019[77]
Mountain Creek, Vernon Township, New Jersey, 1 480, 440, 1 040, 200, 41, 8, 65, $80, December 11  2019[78]
Blue Mountain, Collingwood, Ontario, 1 483, 741, 742, 250, 34, 15, 109, $67, 
Mt Bachelor [19], Bend, Oregon, 9 065, 5 700, 3 365, 4 318, 101, 11, 462, $99, September 29  2019[79]
Mount Hood Meadows [20], Portland, Oregon, 7 300, 4 523, 2 777, 2 150, 85, 11, 430, $79, December 11  2019[80]
Mont-Sainte-Anne, Beaupré, Quebec, 2 625, 575, 2 050, 450, 65, 13, 187, $65, 
Mont Tremblant Resort, Mont Tremblant, Quebec, 2 870, 750, 2 120, 627, 95, 14, 156, $70.35, 
Le Massif, Petite-Rivière-Saint-François, Quebec, 2 645, 118, 2 527, 410, 48, 4, 248, $61, 
Brian Head, Brian Head, Utah, 11 307, 9 600, 1 548, 650, 14, 8, 370, $45, December 11  2019[81]
Park City Mountain Resort[82], Park City, Utah, 10 000, 6 900, 3 100, 7 300, 348, 41, 360, $179, December 11  2019
Deer Valley, Park City, Utah, 9 570, 6 570, 3 000, 2 026, 100, 21, 280, $209, December 11  2019[81]
Brighton Ski Resort [21], Salt Lake City, Utah, 10 500, 8 755, 1 745, 1 500, 66, 6, 500, $99, December 11  2019[83]
Alta Ski Area [22], Salt Lake City, Utah, 10 550, 8 530, 2 020, 2 200, 116, 10, 560, $125, December 11  2019[84]
Snowbird [23], Salt Lake City, Utah, 10 992, 7 760, 3 240, 2 500, 85, 13, 500, $145, December 11  2019[85]
Smuggler's Notch, Jeffersonville, Vermont, 3 640, 1 030, 2 610, 1 000, 78, 16, 288, $82, December 11  2019[86]
Windham Mountain, Windham, New York, 3 100, 1 500, 1 600, 279, 52, 12, 100[87], $98, December 11  2019[88]
Hunter Mountain, Hunter, New York, 3 200, 1 600, 1 600, 240, 58, 10, 120[89], $91, December 11  2019[90]
Killington Ski Resort, Killington, Vermont, 4 241, 1 165, 3 050, 1 509, 155, 21, 250, $125, December 11  2019[91]
Okemo Mountain, Ludlow, Vermont, 3 344, 1 144, 2 200, 632, 119, 19, 200, $119, December 11  2019[92]
Stowe Mountain Resort, Stowe, Vermont, 3 719, 1 559, 2 160, 485, 116, 13, 333, $139, December 11  2019[93]
