XEP, Description, Status, ejabberd, iChat Server, jabberd14, jabberd2, Metronome, Isode M-Link, MongooseIM, Openfire, Prosody, Tigase
0106, JID escaping, {{nightly|Draft}}, {{Yes}}[8], {{unk}}, {{unk}}, {{No}}[17], {{Yes}}, {{No}}, {{Yes}}, {{Yes}}[5], {{Yes}}[20], {{Yes}}[6]
0107, User Mood, {{nightly|Draft}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{Yes}}[18], {{No}}, {{No}}, {{unk}}, {{Yes}}[20], {{Yes}}[6]
0108, User Activity, {{nightly|Draft}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{Yes}}[18], {{No}}, {{No}}, {{unk}}, {{Yes}}[20], {{Yes}}[6]
0114, Jabber Component Protocol, {{incorrect|Historical Use}}, {{Yes}}[8], {{unk}}, {{Yes}}[2], {{Yes}}[17], {{Yes}}[18], {{Yes}}[19], {{Yes}}, {{Yes}}[5], {{Yes}}[20], {{Yes}}[6]
0115, Entity Capabilities, {{nightly|Draft}}, {{Yes}}[8], {{unk}}, {{unk}}, {{No}}[17], {{Yes}}[18], {{No}}, {{Yes}}[31], {{Yes}}[5], {{Yes}}[20], {{Yes}}[6]
0118, User Tune, {{nightly|Draft}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{Yes}}[18], {{No}}, {{No}}, {{unk}}, {{Yes}}[20], {{Yes}}[6]
0122, Data Forms Validation, {{nightly|Draft}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{No}}[18], {{No}}, {{Yes}}, {{No}}, {{Yes}}[20], {{No}}
0124, Bidirectional-streams Over Synchronous HTTP (BOSH), {{nightly|Draft}}, {{Yes}}[8], {{unk}}, Contrib.[2][32], {{No}}[17], {{Yes}}[18], {{No}}, {{Yes}}, {{Yes}}[5], {{Yes}}[20], {{Yes}}[6]
0126, Invisibility, {{Yes|Approved}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{Yes}}[18], {{No}}, {{Yes}}, {{Yes}}[5], {{Yes}}[20], {{No}}
0128, Service Discovery Extensions, {{Yes|Approved}}, {{No}}[8], {{unk}}, {{unk}}, {{Yes}}[17], {{Yes}}[18], {{Yes}}[19], {{No}}, {{Yes}}[5], {{Yes}}[20], {{Yes}}[6]
0130, Waiting Lists, {{incorrect|Deprecated}}, {{No}}[8], {{unk}}, {{unk}}, {{No}}[17], {{No}}[18], {{No}}, {{No}}, {{unk}}, {{No}}[20], {{No}}
